 ,Unnamed: 1,Unnamed: 2,Number,Description,Formula
Day of celebration,Name of the day,,,,
20 February,Air Crash Victims Day,,,,
21 February,International Mother Language Day,,,,
22 April,Earth Day,,,,
26 April,World Pilots’ Day,,,,
24 May,National Aviation Maintenance Technician Day,,,,
31 May,International Flight Attendant Day,,,,
5 June,World Environment Day,,,,
19 August,World Humanitarian Day,,,,
21 September,International Peace Day,,,,
27 September,World Tourism Day,,,,
9 October,World Post Day,,,,
20 October,International Day of the Air traffic Controller,,,,
31 October,World Cities Day ,,,,
7 December,International Civil Aviation Day,,,,
17 December,Wright Brothers Day,,,,
,,,,,
OIII NAVAIDS:,,,,,
ID,TYPE+NAME OF AID,COORDINATES,,,
 VR,Varamin  NDB,352033.6N0513813.8E,,,
RUS,Rudeshur VOR/DME,352643.7N0505419.3E,,,
   KAZ,Kahrizak NDB,353100.1N0512200.7E,,,
   TRN,DVOR/DME,354149.1N0511701.6E,,,
   THR,TACAN,354152.8N0511649.5E,,,
 ITHL,LOC 29L ILS CAT I,354147.3N0511707.9E,,,
ILS GP RWY 29L,ILS GP RWY 29L,354054.4N0511949.4E,,,
ITHL,ILS DME RWY 29L,354054.4N0511949.4E,,,
ITRN,LOC 29R ILS CAT I,354149.8N0511724.9E,,,
ILS GP RWY 29R,ILS GP RWY 29R,354104.3N0511949.4E,,,
ITRN,ILS DME RWY 29R,354104.3N0511949.4E,,,
,,,1.0,Relative Bearing Between Two Coordinates,"Bearing = arctan2(X, Y); X = cos(phi_2) * sin(Delta_lambda); Y = cos(phi_1) * sin(phi_2) - sin(phi_1) * cos(phi_2) * cos(Delta_lambda); Delta_lambda = lambda_2 - lambda_1"
,,,2.0,Coordinates of a Point Given Distance and Bearing,"phi_2 = arcsin(sin(phi_1) * cos(d/R) + cos(phi_1) * sin(d/R) * cos(theta)); lambda_2 = lambda_1 + arctan2(sin(theta) * sin(d/R) * cos(phi_1), cos(d/R) - sin(phi_1) * sin(phi_2))"
