Formulas|Descriptions
angle_radians = (pi/180) * angle_degrees|Converts an angle from degrees to radians.
angle_degrees = (180/pi) * angle_radians|Converts an angle from radians to degrees.
distance_radians = (pi/(180*60)) * distance_nm|Converts distance from nautical miles to radians.
distance_nm = ((180*60)/pi) * distance_radians|Converts distance from radians to nautical miles.
distance_km = radius_km * distance_radians|Converts distance from radians to kilometers using a specified radius of the Earth.
distance_radians = distance_km / radius_km|Converts distance from kilometers to radians using a specified radius of the Earth.
d = acos(sin(lat1) * sin(lat2) + cos(lat1) * cos(lat2) * cos(lon1 - lon2))|Calculates the great circle distance between two points using their latitude and longitude coordinates. Suitable for longer distances.
d = 2 * asin(sqrt((sin((lat1 - lat2) / 2))^2 + cos(lat1) * cos(lat2) * (sin((lon1 - lon2) / 2))^2))|Calculates the great circle distance between two points using their latitude and longitude coordinates. More accurate for shorter distances due to reduced rounding errors.
IF (cos(lat1) < EPS)|Checks if the initial point is at a pole using a small number EPS to handle precision.
IF (lat1 > 0) tc1 = pi|Sets the initial course to pi if starting from the North Pole.
ELSE tc1 = 2*pi|Sets the initial course to 2*pi if starting from the South Pole.
IF sin(lon2-lon1) < 0 tc1 = acos((sin(lat2) - sin(lat1) * cos(d)) / (sin(d) * cos(lat1)))|Calculates the initial course from point 1 to point 2 when the sine of the longitude difference is negative.
ELSE tc1 = 2*pi - acos((sin(lat2) - sin(lat1) * cos(d)) / (sin(d) * cos(lat1)))|Calculates the initial course from point 1 to point 2 when the sine of the longitude difference is positive.
tc1 = mod(atan2(sin(lon1 - lon2) * cos(lat2), cos(lat1) * sin(lat2) - sin(lat1) * cos(lat2) * cos(lon1 - lon2)), 2*pi)|An alternative formula to compute the initial course without pre-computing the distance between points.
lat = atan((sin(lat1) * cos(lat2) * sin(lon - lon2) - sin(lat2) * cos(lat1) * sin(lon - lon1)) / (cos(lat1) * cos(lat2) * sin(lon1 - lon2)))|Calculates the latitude of an intermediate point on the great circle connecting two points. Not applicable for meridians where sin(lon1 - lon2) = 0.
lat = asin(sin(lat1) * cos(d) + cos(lat1) * sin(d) * cos(tc))|Calculates the latitude of a point at a distance 'd' along a track 'tc' from a starting point.
IF (cos(lat) = 0) lon = lon1|If the calculated latitude is at the pole, the longitude remains the same as the starting point's longitude.
ELSE lon = mod(lon1 - asin(sin(tc) * sin(d) / cos(lat)) + pi, 2*pi) - pi|Calculates the longitude of a point at a distance 'd' along a track 'tc' from a starting point when not at a pole.
lat = asin(sin(lat1) * cos(d) + cos(lat1) * sin(d) * cos(tc))|General formula to calculate latitude for longer distances.
dlon = atan2(sin(tc) * sin(d) * cos(lat1), cos(d) - sin(lat1) * sin(lat))|Calculates the difference in longitude for longer distances.
lon = mod(lon1 - dlon + pi, 2*pi) - pi|Calculates the longitude using the longitude difference for longer distances, ensuring it stays within the valid range.
dst12 = 2 * asin(sqrt((sin((lat1 - lat2) / 2))^2 + cos(lat1) * cos(lat2) * sin((lon1 - lon2) / 2)^2))|Calculates the great circle distance between points 1 and 2.
IF sin(lon2 - lon1) < 0 crs12 = acos((sin(lat2) - sin(lat1) * cos(dst12)) / (sin(dst12) * cos(lat1)))|Calculates the initial course from point 1 to point 2 when the sine of the longitude difference is negative.
ELSE crs12 = 2 * pi - acos((sin(lat2) - sin(lat1) * cos(dst12)) / (sin(dst12) * cos(lat1)))|Calculates the initial course from point 1 to point 2 when the sine of the longitude difference is positive.
crs21 = 2 * pi - acos((sin(lat1) - sin(lat2) * cos(dst12)) / (sin(dst12) * cos(lat2)))|Calculates the reverse course from point 2 to point 1 when the sine of the longitude difference is negative.
crs21 = acos((sin(lat1) - sin(lat2) * cos(dst12)) / (sin(dst12) * cos(lat2)))|Calculates the reverse course from point 2 to point 1 when the sine of the longitude difference is positive.
ang1 = mod(crs13 - crs12 + pi, 2 * pi) - pi|Computes the angular difference between the course from point 1 to the intersection and the course from point 1 to point 2.
ang2 = mod(crs21 - crs23 + pi, 2 * pi) - pi|Computes the angular difference between the course from point 2 to the intersection and the course from point 2 to point 1.
IF (sin(ang1) = 0 AND sin(ang2) = 0)|Indicates there are an infinite number of intersections.
ELSEIF sin(ang1) * sin(ang2) < 0|Indicates the intersection is ambiguous.
ELSE ang3 = acos(-cos(ang1) * cos(ang2) + sin(ang1) * sin(ang2) * cos(dst12))|Calculates the interior angle of the spherical triangle formed by points 1, 2, and the intersection.
dst13 = atan2(sin(dst12) * sin(ang1) * sin(ang2), cos(ang2) + cos(ang1) * cos(ang3))|Calculates the distance from point 1 to the intersection.
lat3 = asin(sin(lat1) * cos(dst13) + cos(lat1) * sin(dst13) * cos(crs13))|Calculates the latitude of the intersection point.
dlon = atan2(sin(crs13) * sin(dst13) * cos(lat1), cos(dst13) - sin(lat1) * sin(lat3))|Calculates the difference in longitude for the intersection point.
lon3 = mod(lon1 - dlon + pi, 2 * pi) - pi|Calculates the longitude of the intersection point, ensuring it remains within valid range.
sin(tc) * cos(lat) = constant|Clairaut's formula which states that the product of the sine of the true course and the cosine of the latitude is constant along any great circle.
sin(tc1) * cos(lat1) = sin(tc2) * cos(lat2)|Relates the true course and latitude of any two points on the same great circle.
latmx = acos(abs(sin(tc) * cos(lat)))|Calculates the highest latitude reached on a great circle given the true course and latitude at any point.
l12 = lon1 - lon2|Calculates the difference in longitude between two points on the great circle.
A = sin(lat1) * cos(lat2) * cos(lat3) * sin(l12)|Intermediate value used to find the crossing points of the great circle with a parallel.
B = sin(lat1) * cos(lat2) * cos(lat3) * cos(l12) - cos(lat1) * sin(lat2) * cos(lat3)|Intermediate value used to find the crossing points of the great circle with a parallel.
C = cos(lat1) * cos(lat2) * sin(lat3) * sin(l12)|Intermediate value used to determine if the great circle crosses the given parallel.
lon = atan2(B, A)|Computes the base longitude using the atan2 function for the crossing points.
IF (abs(C) > sqrt(A^2 + B^2))|"Checks if the great circle crosses the parallel, indicating ""no crossing"" if true."
dlon = acos(C / sqrt(A^2 + B^2))|Calculates the difference in longitude at the crossing points if they exist.
lon3_1 = mod(lon1 + dlon + lon + pi, 2 * pi) - pi|Calculates the first longitude where the great circle crosses the given parallel.
lon3_2 = mod(lon1 - dlon + lon + pi, 2 * pi) - pi|Calculates the second longitude where the great circle crosses the given parallel.
A = sin((1 - f) * d) / sin(d)|Calculates the weighting factor A based on the fraction of the distance f along the great circle.
B = sin(f * d) / sin(d)|Calculates the weighting factor B based on the fraction of the distance f along the great circle.
x = A * cos(lat1) * cos(lon1) + B * cos(lat2) * cos(lon2)|Intermediate x-coordinate for the point a fraction f along the great circle.
y = A * cos(lat1) * sin(lon1) + B * cos(lat2) * sin(lon2)|Intermediate y-coordinate for the point a fraction f along the great circle.
z = A * sin(lat1) + B * sin(lat2)|Intermediate z-coordinate for the point a fraction f along the great circle.
lat = atan2(z, sqrt(x^2 + y^2))|Calculates the latitude of the point a fraction f along the great circle.
lon = atan2(y, x)|Calculates the longitude of the point a fraction f along the great circle.
XTD = asin(sin(dist_AD) * sin(crs_AD - crs_AB))|Calculates the cross track error (XTD), which is the perpendicular distance from the point D to the great circle route from A to B. Positive XTD indicates right of course, negative indicates left.
ATD = acos(cos(dist_AD) / cos(XTD))|Calculates the along track distance (ATD), the distance from point A along the course towards point B to the point abeam D.
ATD = asin(sqrt((sin(dist_AD))^2 - (sin(XTD))^2) / cos(XTD))|Alternative formula for the along track distance for very short distances, less susceptible to rounding errors.
A = crs_AD - crs_AB|Difference in initial great circle bearings from A to B and A to D.
r = (cos(b)^2 + sin(b)^2 * cos(A)^2)^(1/2)|Intermediate value to determine the existence of points on the great circle at a specific distance from point D.
p = atan2(sin(b) * cos(A), cos(b))|Calculates the along track distance in radians from A towards B.
IF (cos(d)^2 > r^2) THEN No points exist|Checks if there are any points on the great circle at the given distance d from point D.
dp = p +- acos(cos(d) / r)|Calculates the distances of the desired points from A along the great circle route AB, where the points lie at a distance d from D.
acos(x) = atan2(sqrt(1 - x^2), x)|Computes the arc-cosine using the atan2 function when acos is unavailable.
asin(x) = atan2(x, sqrt(1 - x^2))|Computes the arc-sine using the atan2 function when asin is unavailable.
asin(x) = 2 * atan(x / (1 + sqrt(1 - x*x)))|Computes the arc-sine using only the atan function.
acos(x) = 2 * atan(sqrt((1 - x) / (1 + x)))|Computes the arc-cosine using only the atan function when x >= 0.
acos(x) = pi - 2 * atan(sqrt((1 + x) / (1 - x)))|Computes the arc-cosine using only the atan function when x < 0.
atan2(y, x) = atan(y / x)|Computes the atan2 using atan when x > 0.
atan2(y, x) = atan(y / x) + pi|Computes the atan2 using atan when x < 0 and y >= 0.
atan2(y, x) = pi/2|Returns the value for atan2 when x = 0 and y > 0.
atan2(y, x) = atan(y / x) - pi|Computes the atan2 using atan when x < 0 and y < 0.
atan2(y, x) = -pi/2|Returns the value for atan2 when x = 0 and y < 0.
asin_safe(x) = asin(max(-1, min(x, 1)))|A safe version of the asin function to handle rounding errors that might cause the argument to exceed 1 in magnitude.
acos_safe(x) = acos(max(-1, min(x, 1)))|A safe version of the acos function to handle rounding errors that might cause the argument to exceed 1 in magnitude.
mod(y, x) = y - x * floor(y / x)|Calculates the remainder of y divided by x, ensuring the result is always in the range 0 <= mod < x.
IF (mod < 0) mod = mod + x|Adjusts the result of mod to ensure it is non-negative if necessary.
angle_radians = (pi/180) * angle_degrees|Converts an angle from degrees to radians.
angle_degrees = (180/pi) * angle_radians|Converts an angle from radians to degrees.
distance_radians = (pi/(180*60)) * distance_nm|Converts distance from nautical miles to radians.
distance_nm = ((180*60)/pi) * distance_radians|Converts distance from radians to nautical miles.
distance_km = radius_km * distance_radians|Converts distance from radians to kilometers using a specified radius of the Earth.
distance_radians = distance_km / radius_km|Converts distance from kilometers to radians using a specified radius of the Earth.
d = acos(sin(lat1) * sin(lat2) + cos(lat1) * cos(lat2) * cos(lon1 - lon2))|Calculates the great circle distance between two points using their latitude and longitude coordinates. Suitable for longer distances.
d = 2 * asin(sqrt((sin((lat1 - lat2) / 2))^2 + cos(lat1) * cos(lat2) * (sin((lon1 - lon2) / 2))^2))|Calculates the great circle distance between two points using their latitude and longitude coordinates. More accurate for shorter distances due to reduced rounding errors.
IF (cos(lat1) < EPS)|Checks if the initial point is at a pole using a small number EPS to handle precision.
IF (lat1 > 0) tc1 = pi|Sets the initial course to pi if starting from the North Pole.
ELSE tc1 = 2*pi|Sets the initial course to 2*pi if starting from the South Pole.
IF sin(lon2-lon1) < 0 tc1 = acos((sin(lat2) - sin(lat1) * cos(d)) / (sin(d) * cos(lat1)))|Calculates the initial course from point 1 to point 2 when the sine of the longitude difference is negative.
ELSE tc1 = 2*pi - acos((sin(lat2) - sin(lat1) * cos(d)) / (sin(d) * cos(lat1)))|Calculates the initial course from point 1 to point 2 when the sine of the longitude difference is positive.
tc1 = mod(atan2(sin(lon1 - lon2) * cos(lat2), cos(lat1) * sin(lat2) - sin(lat1) * cos(lat2) * cos(lon1 - lon2)), 2*pi)|An alternative formula to compute the initial course without pre-computing the distance between points.
lat = atan((sin(lat1) * cos(lat2) * sin(lon - lon2) - sin(lat2) * cos(lat1) * sin(lon - lon1)) / (cos(lat1) * cos(lat2) * sin(lon1 - lon2)))|Calculates the latitude of an intermediate point on the great circle connecting two points. Not applicable for meridians where sin(lon1 - lon2) = 0.
lat = asin(sin(lat1) * cos(d) + cos(lat1) * sin(d) * cos(tc))|Calculates the latitude of a point at a distance 'd' along a track 'tc' from a starting point.
IF (cos(lat) = 0) lon = lon1|If the calculated latitude is at the pole, the longitude remains the same as the starting point's longitude.
ELSE lon = mod(lon1 - asin(sin(tc) * sin(d) / cos(lat)) + pi, 2*pi) - pi|Calculates the longitude of a point at a distance 'd' along a track 'tc' from a starting point when not at a pole.
lat = asin(sin(lat1) * cos(d) + cos(lat1) * sin(d) * cos(tc))|General formula to calculate latitude for longer distances.
dlon = atan2(sin(tc) * sin(d) * cos(lat1), cos(d) - sin(lat1) * sin(lat))|Calculates the difference in longitude for longer distances.
lon = mod(lon1 - dlon + pi, 2*pi) - pi|Calculates the longitude using the longitude difference for longer distances, ensuring it stays within the valid range.
dst12 = 2 * asin(sqrt((sin((lat1 - lat2) / 2))^2 + cos(lat1) * cos(lat2) * sin((lon1 - lon2) / 2)^2))|Calculates the great circle distance between points 1 and 2.
IF sin(lon2 - lon1) < 0 crs12 = acos((sin(lat2) - sin(lat1) * cos(dst12)) / (sin(dst12) * cos(lat1)))|Calculates the initial course from point 1 to point 2 when the sine of the longitude difference is negative.
ELSE crs12 = 2 * pi - acos((sin(lat2) - sin(lat1) * cos(dst12)) / (sin(dst12) * cos(lat1)))|Calculates the initial course from point 1 to point 2 when the sine of the longitude difference is positive.
crs21 = 2 * pi - acos((sin(lat1) - sin(lat2) * cos(dst12)) / (sin(dst12) * cos(lat2)))|Calculates the reverse course from point 2 to point 1 when the sine of the longitude difference is negative.
crs21 = acos((sin(lat1) - sin(lat2) * cos(dst12)) / (sin(dst12) * cos(lat2)))|Calculates the reverse course from point 2 to point 1 when the sine of the longitude difference is positive.
ang1 = mod(crs13 - crs12 + pi, 2 * pi) - pi|Computes the angular difference between the course from point 1 to the intersection and the course from point 1 to point 2.
ang2 = mod(crs21 - crs23 + pi, 2 * pi) - pi|Computes the angular difference between the course from point 2 to the intersection and the course from point 2 to point 1.
IF (sin(ang1) = 0 AND sin(ang2) = 0)|Indicates there are an infinite number of intersections.
ELSEIF sin(ang1) * sin(ang2) < 0|Indicates the intersection is ambiguous.
ELSE ang3 = acos(-cos(ang1) * cos(ang2) + sin(ang1) * sin(ang2) * cos(dst12))|Calculates the interior angle of the spherical triangle formed by points 1, 2, and the intersection.
dst13 = atan2(sin(dst12) * sin(ang1) * sin(ang2), cos(ang2) + cos(ang1) * cos(ang3))|Calculates the distance from point 1 to the intersection.
lat3 = asin(sin(lat1) * cos(dst13) + cos(lat1) * sin(dst13) * cos(crs13))|Calculates the latitude of the intersection point.
dlon = atan2(sin(crs13) * sin(dst13) * cos(lat1), cos(dst13) - sin(lat1) * sin(lat3))|Calculates the difference in longitude for the intersection point.
lon3 = mod(lon1 - dlon + pi, 2 * pi) - pi|Calculates the longitude of the intersection point, ensuring it remains within valid range.
sin(tc) * cos(lat) = constant|Clairaut's formula which states that the product of the sine of the true course and the cosine of the latitude is constant along any great circle.
sin(tc1) * cos(lat1) = sin(tc2) * cos(lat2)|Relates the true course and latitude of any two points on the same great circle.
latmx = acos(abs(sin(tc) * cos(lat)))|Calculates the highest latitude reached on a great circle given the true course and latitude at any point.
l12 = lon1 - lon2|Calculates the difference in longitude between two points on the great circle.
A = sin(lat1) * cos(lat2) * cos(lat3) * sin(l12)|Intermediate value used to find the crossing points of the great circle with a parallel.
